Date,Amount,Category
2020-04-15,432.95,Entertainment
2020-04-15,352.0,Healthcare
2020-04-15,239.28,Groceries
2020-04-15,466.2,Investment Return
2020-04-15,87.19,Shopping
2020-04-15,227.33,Healthcare
2020-04-16,34.85,Education
2020-04-16,499.85,Shopping
2020-04-17,254.59,Utilities
2020-04-17,211.08,Groceries
2020-04-17,183.71,Healthcare
2020-04-17,544.02,Investment Return
2020-04-17,458.18,Entertainment
2020-04-18,414.16,Entertainment
2020-04-18,222.21,Groceries
2020-04-18,417.82,Education
2020-04-18,1010.96,Rent
2020-04-18,393.94,Utilities
2020-04-18,106.91,Shopping
2020-04-19,185.08,Groceries
2020-04-19,337.5,Transport
2020-04-19,459.78,Utilities
2020-04-19,268.41,Utilities
2020-04-19,468.11,Freelance
2020-04-19,315.37,Shopping
2020-04-20,2104.19,Salary
2020-04-20,430.96,Entertainment
2020-04-20,589.52,Freelance
2020-04-20,315.05,Investment Return
2020-04-20,520.8,Freelance
2020-04-20,517.3,Investment Return
2020-04-20,59.07,Utilities
2020-04-20,464.11,Entertainment
2020-04-21,331.35,Entertainment
2020-04-21,511.7,Investment Return
2020-04-21,964.3,Rent
2020-04-21,388.75,Investment Return
2020-04-22,558.38,Freelance
2020-04-22,430.27,Investment Return
2020-04-22,2033.86,Salary
2020-04-22,316.11,Shopping
2020-04-22,418.59,Freelance
2020-04-22,965.87,Rent
2020-04-22,279.16,Entertainment
2020-04-22,959.63,Rent
2020-04-23,1010.98,Rent
2020-04-23,988.8,Rent
2020-04-23,1076.6,Rent
2020-04-23,2130.52,Salary
2020-04-23,1027.44,Rent
2020-04-23,642.84,Freelance
2020-04-23,453.9,Entertainment
2020-04-23,467.55,Utilities
2020-04-23,422.06,Transport
2020-04-24,430.5,Education
2020-04-24,151.05,Shopping
2020-04-24,486.57,Healthcare
2020-04-24,955.7,Rent
2020-04-24,2077.44,Salary
2020-04-24,43.53,Utilities
2020-04-24,934.73,Rent
2020-04-24,79.09,Shopping
2020-04-25,62.08,Shopping
2020-04-25,957.72,Rent
2020-04-25,1028.71,Rent
2020-04-25,86.04,Entertainment
2020-04-25,42.11,Utilities
2020-04-25,282.51,Utilities
2020-04-25,454.96,Investment Return
2020-04-25,107.75,Utilities
2020-04-25,436.51,Healthcare
2020-04-26,329.9,Shopping
2020-04-26,79.82,Healthcare
2020-04-27,106.17,Shopping
2020-04-28,278.56,Entertainment
2020-04-28,977.68,Rent
2020-04-28,58.2,Transport
2020-04-28,424.72,Utilities
2020-04-28,146.27,Freelance
2020-04-28,222.49,Groceries
2020-04-28,211.98,Groceries
2020-04-28,287.24,Entertainment
2020-04-29,184.7,Entertainment
2020-04-29,449.46,Freelance
2020-04-29,200.09,Groceries
2020-04-29,234.05,Entertainment
2020-04-29,2006.77,Salary
2020-04-29,691.0,Investment Return
2020-04-29,304.67,Entertainment
2020-04-30,471.04,Utilities
2020-04-30,206.24,Education
2020-04-30,162.08,Education
2020-04-30,86.44,Transport
2020-04-30,49.98,Transport
2020-04-30,1994.5,Salary
2020-05-01,1924.28,Salary
2020-05-01,199.59,Groceries
2020-05-01,207.24,Utilities
2020-05-01,597.68,Freelance
2020-05-01,174.23,Entertainment
2020-05-01,473.85,Education
2020-05-01,122.31,Entertainment
2020-05-01,161.86,Education
2020-05-01,55.83,Shopping
2020-05-02,973.78,Rent
2020-05-02,1944.2,Salary
2020-05-02,256.6,Utilities
2020-05-02,73.43,Entertainment
2020-05-02,278.42,Entertainment
2020-05-02,2001.56,Salary
2020-05-02,124.32,Transport
2020-05-03,2042.98,Salary
2020-05-03,466.47,Shopping
2020-05-03,374.3,Entertainment
2020-05-03,1890.7,Salary
2020-05-03,480.39,Transport
2020-05-03,254.38,Education
2020-05-03,220.14,Groceries
2020-05-04,1057.86,Rent
2020-05-04,266.2,Transport
2020-05-04,204.83,Utilities
2020-05-04,475.32,Shopping
2020-05-04,442.37,Transport
2020-05-04,52.38,Education
2020-05-04,550.26,Freelance
2020-05-05,276.86,Utilities
2020-05-05,352.91,Transport
2020-05-05,482.64,Entertainment
2020-05-05,1011.54,Rent
2020-05-06,230.31,Groceries
2020-05-06,329.91,Transport
2020-05-06,221.8,Education
2020-05-06,245.86,Groceries
2020-05-07,282.5,Utilities
2020-05-07,299.92,Healthcare
2020-05-07,87.49,Transport
2020-05-07,435.57,Education
2020-05-08,221.3,Entertainment
2020-05-08,80.59,Transport
2020-05-08,1938.63,Salary
2020-05-08,282.17,Healthcare
2020-05-08,183.07,Transport
2020-05-08,408.68,Transport
2020-05-09,1029.03,Rent
2020-05-09,576.7,Investment Return
2020-05-09,22.59,Entertainment
2020-05-09,945.13,Rent
2020-05-09,314.46,Entertainment
2020-05-09,208.08,Shopping
2020-05-10,112.24,Utilities
2020-05-10,457.55,Investment Return
2020-05-11,160.03,Transport
2020-05-11,226.99,Transport
2020-05-12,1024.36,Rent
2020-05-12,1103.0,Rent
2020-05-12,205.21,Groceries
2020-05-12,194.39,Utilities
2020-05-12,209.58,Groceries
2020-05-12,181.45,Groceries
2020-05-12,281.53,Shopping
2020-05-13,369.69,Transport
2020-05-13,18.66,Shopping
2020-05-13,312.52,Healthcare
2020-05-13,438.66,Utilities
2020-05-13,240.14,Groceries
2020-05-13,434.25,Education
2020-05-13,277.47,Entertainment
2020-05-13,48.67,Education
2020-05-13,29.12,Transport
2020-05-14,213.86,Groceries
2020-05-14,137.92,Utilities
2020-05-14,421.82,Utilities
2020-05-14,931.9,Rent
2020-05-14,175.92,Entertainment
2020-05-14,2190.0,Salary
2020-05-15,968.72,Rent
2020-05-15,131.53,Transport
2020-05-15,455.13,Investment Return
2020-05-15,299.13,Education
2020-05-15,1882.38,Salary
2020-05-15,993.79,Rent
2020-05-15,175.02,Education
2020-05-15,233.77,Entertainment
2020-05-15,1064.91,Rent
2020-05-15,83.43,Shopping
2020-05-16,234.86,Groceries
2020-05-16,242.07,Shopping
2020-05-16,218.22,Groceries
2020-05-16,399.58,Transport
2020-05-16,1860.54,Salary
2020-05-16,229.43,Utilities
2020-05-16,233.3,Education
2020-05-16,284.27,Healthcare
2020-05-17,471.89,Education
2020-05-17,924.52,Rent
2020-05-17,969.82,Rent
2020-05-17,242.47,Groceries
2020-05-18,418.97,Education
2020-05-18,270.36,Shopping
2020-05-18,222.21,Groceries
2020-05-18,969.53,Rent
2020-05-19,950.4,Rent
2020-05-19,612.21,Investment Return
2020-05-19,485.83,Investment Return
2020-05-19,321.19,Shopping
2020-05-19,108.95,Entertainment
2020-05-19,340.35,Entertainment
2020-05-20,375.03,Transport
2020-05-20,281.03,Shopping
2020-05-20,417.74,Transport
2020-05-20,410.81,Shopping
2020-05-20,924.95,Rent
2020-05-20,562.44,Freelance
2020-05-21,2000.93,Salary
2020-05-21,226.2,Utilities
2020-05-21,87.68,Transport
2020-05-21,564.16,Freelance
2020-05-21,471.13,Shopping
2020-05-21,349.14,Utilities
2020-05-22,963.97,Rent
2020-05-22,479.24,Transport
2020-05-22,382.43,Freelance
2020-05-22,482.57,Utilities
2020-05-22,294.09,Transport
2020-05-23,403.37,Shopping
2020-05-23,296.82,Entertainment
2020-05-23,1991.49,Salary
2020-05-23,343.02,Entertainment
2020-05-24,215.47,Education
2020-05-24,321.09,Freelance
2020-05-24,199.53,Shopping
2020-05-24,84.5,Utilities
2020-05-24,313.4,Utilities
2020-05-24,162.99,Entertainment
2020-05-24,951.5,Rent
2020-05-25,164.61,Transport
2020-05-25,376.95,Entertainment
2020-05-25,435.75,Education
2020-05-25,234.23,Entertainment
2020-05-26,999.91,Rent
2020-05-26,37.69,Education
2020-05-26,207.07,Transport
2020-05-26,303.21,Entertainment
2020-05-27,906.01,Rent
2020-05-27,584.72,Investment Return
2020-05-27,388.93,Transport
2020-05-27,317.53,Entertainment
2020-05-27,242.03,Shopping
2020-05-27,399.67,Utilities
2020-05-27,72.26,Shopping
2020-05-27,203.98,Groceries
2020-05-27,425.68,Freelance
2020-05-27,1033.66,Rent
